trial,score,vs_left,action,win_probability,round,win_low,win_high,conv_low,conv_high
1,0,0,small,0.018654324299886355,1,70.0,100.0,,
1,0,0,large,0.018408028248638377,1,70.0,100.0,,
1,0,1,small,0.03398099846097009,1,70.0,100.0,,
1,0,1,large,0.03354219502134012,1,70.0,100.0,,
1,0,1,very_small,0.018634135142041926,1,70.0,100.0,,
1,0,2,small,0.06039579370586924,1,70.0,100.0,,
1,0,2,large,0.05963564883671435,1,70.0,100.0,,
1,0,2,very_small,0.0339458684086101,1,70.0,100.0,,
1,0,3,small,0.10753890803375162,1,70.0,100.0,,
1,0,3,large,0.10622240532142203,1,70.0,100.0,,
1,0,3,very_small,0.060331392015017686,1,70.0,100.0,,
1,1,0,small,0.01864869337836412,1,70.0,100.0,,
1,1,0,large,0.018357524237852817,1,70.0,100.0,,
1,1,1,small,0.03397106671961562,1,70.0,100.0,,
1,1,1,large,0.03345196638341983,1,70.0,100.0,,
1,1,1,very_small,0.018643886172280914,1,70.0,100.0,,
1,1,2,small,0.060378716230775994,1,70.0,100.0,,
1,1,2,large,0.05947852955666822,1,70.0,100.0,,
1,1,2,very_small,0.03396318211942442,1,70.0,100.0,,
1,1,3,small,0.10750960419763879,1,70.0,100.0,,
1,1,3,large,0.10594562640459666,1,70.0,100.0,,
1,1,3,very_small,0.06036063168995531,1,70.0,100.0,,
1,2,0,small,0.01864193449299673,1,70.0,100.0,,
1,2,0,large,0.018299489204234014,1,70.0,100.0,,
1,2,1,small,0.0339591135539426,1,70.0,100.0,,
1,2,1,large,0.03335128070153294,1,70.0,100.0,,
1,2,1,very_small,0.018657659318069557,1,70.0,100.0,,
1,2,2,small,0.06035812125919311,1,70.0,100.0,,
1,2,2,large,0.0593031810639941,1,70.0,100.0,,
1,2,2,very_small,0.03398752210567497,1,70.0,100.0,,
1,2,3,small,0.10747416312581681,1,70.0,100.0,,
1,2,3,large,0.10563548724821575,1,70.0,100.0,,
1,2,3,very_small,0.060402532478205546,1,70.0,100.0,,
1,3,0,small,0.018633867788088586,1,70.0,100.0,,
1,3,0,large,0.018233398330967952,1,70.0,100.0,,
1,3,1,small,0.03394480505299767,1,70.0,100.0,,
1,3,1,large,0.033240777748408785,1,70.0,100.0,,
1,3,1,very_small,0.018673617695332594,1,70.0,100.0,,
1,3,2,small,0.060333416213026986,1,70.0,100.0,,
1,3,2,large,0.05911082613011714,1,70.0,100.0,,
1,3,2,very_small,0.03401561117802631,1,70.0,100.0,,
1,3,3,small,0.10743153679809664,1,70.0,100.0,,
1,3,3,large,0.10529441856871742,1,70.0,100.0,,
1,3,3,very_small,0.06045150974684908,1,70.0,100.0,,
1,4,0,small,0.018624276544907746,1,70.0,100.0,,
1,4,0,large,0.01815884246283826,1,70.0,100.0,,
1,4,1,small,0.03392774053730722,1,70.0,100.0,,
1,4,1,large,0.03311385804379617,1,70.0,100.0,,
1,4,1,very_small,0.01868939883137717,1,70.0,100.0,,
1,4,2,small,0.06030388739601082,1,70.0,100.0,,
1,4,2,large,0.05888901115445487,1,70.0,100.0,,
1,4,2,very_small,0.0340432210430846,1,70.0,100.0,,
1,4,3,small,0.107380454943456,1,70.0,100.0,,
1,4,3,large,0.10490098030867775,1,70.0,100.0,,
1,4,3,very_small,0.06050023153155071,1,70.0,100.0,,
1,5,0,small,0.018612914973037648,1,70.0,100.0,,
1,5,0,large,0.018135997933651386,1,70.0,100.0,,
1,5,1,small,0.033907466657659965,1,70.0,100.0,,
1,5,1,large,0.03307572108104883,1,70.0,100.0,,
1,5,1,very_small,0.018702005362036863,1,70.0,100.0,,
1,5,2,small,0.06026872537507765,1,70.0,100.0,,
1,5,2,large,0.05881881916504145,1,70.0,100.0,,
1,5,2,very_small,0.034065164683691404,1,70.0,100.0,,
1,5,3,small,0.10731947151457347,1,70.0,100.0,,
1,5,3,large,0.10476577595675879,1,70.0,100.0,,
1,5,3,very_small,0.0605395259027219,1,70.0,100.0,,
1,6,0,small,0.018603999668415395,1,70.0,100.0,,
1,6,0,large,0.018149792964238003,1,70.0,100.0,,
1,6,1,small,0.03389297948456554,1,70.0,100.0,,
1,6,1,large,0.033100840840173985,1,70.0,100.0,,
1,6,1,very_small,0.018708943523075124,1,70.0,100.0,,
1,6,2,small,0.060238955401081554,1,70.0,100.0,,
1,6,2,large,0.0588580923439042,1,70.0,100.0,,
1,6,2,very_small,0.03407712205181034,1,70.0,100.0,,
1,6,3,small,0.10725337909417314,1,70.0,100.0,,
1,6,3,large,0.1048212880867306,1,70.0,100.0,,
1,6,3,very_small,0.06056178318666831,1,70.0,100.0,,
1,7,0,small,0.0186200080617586,1,70.0,100.0,,
1,7,0,large,0.018183808571421847,1,70.0,100.0,,
1,7,1,small,0.03392173899788349,1,70.0,100.0,,
1,7,1,large,0.033159708810985636,1,70.0,100.0,,
1,7,1,very_small,0.018708927015082994,1,70.0,100.0,,
1,7,2,small,0.06028540425691523,1,70.0,100.0,,
1,7,2,large,0.058960819649842976,1,70.0,100.0,,
1,7,2,very_small,0.034076857151966074,1,70.0,100.0,,
1,7,3,small,0.10732389429517003,1,70.0,100.0,,
1,7,3,large,0.10500266777144085,1,70.0,100.0,,
1,7,3,very_small,0.06056292333448485,1,70.0,100.0,,
1,8,0,small,0.0186502141294594,1,70.0,100.0,,
1,8,0,large,0.01820881517445102,1,70.0,100.0,,
1,8,1,small,0.03397519086191623,1,70.0,100.0,,
1,8,1,large,0.033202977905722825,1,70.0,100.0,,
1,8,1,very_small,0.01870160822479876,1,70.0,100.0,,
1,8,2,small,0.060376621179514374,1,70.0,100.0,,
1,8,2,large,0.05903758970348948,1,70.0,100.0,,
1,8,2,very_small,0.03406378617901107,1,70.0,100.0,,
1,8,3,small,0.10747807903895921,1,70.0,100.0,,
1,8,3,large,0.10514169114168884,1,70.0,100.0,,
1,8,3,very_small,0.060541713797027275,1,70.0,100.0,,
1,9,0,small,0.018685865477671277,1,70.0,100.0,,
1,9,0,large,0.018223490599349627,1,70.0,100.0,,
1,9,1,small,0.0340379121226081,1,70.0,100.0,,
1,9,1,large,0.03322826643329462,1,70.0,100.0,,
1,9,1,very_small,0.018687350011163364,1,70.0,100.0,,
1,9,2,small,0.060486005039321736,1,70.0,100.0,,
1,9,2,large,0.05908378692758567,1,70.0,100.0,,
1,9,2,very_small,0.03403856250510597,1,70.0,100.0,,
1,9,3,small,0.10766997048492619,1,70.0,100.0,,
1,9,3,large,0.10522900448486008,1,70.0,100.0,,
1,9,3,very_small,0.06049909013344592,1,70.0,100.0,,
1,10,0,small,0.018719942734908682,1,70.0,100.0,,
1,10,0,large,0.0182270487528967,1,70.0,100.0,,
1,10,1,small,0.034097623240457196,1,70.0,100.0,,
1,10,1,large,0.033234203156048095,1,70.0,100.0,,
1,10,1,very_small,0.018667394085282372,1,70.0,100.0,,
1,10,2,small,0.060592038658694156,1,70.0,100.0,,
1,10,2,large,0.0590965731862214,1,70.0,100.0,,
1,10,2,very_small,0.03400338428027773,1,70.0,100.0,,
1,10,3,small,0.10786139481902904,1,70.0,100.0,,
1,10,3,large,0.10525841543587537,1,70.0,100.0,,
1,10,3,very_small,0.06043871122758843,1,70.0,100.0,,
1,11,0,small,0.018744052954397725,1,70.0,100.0,,
1,11,0,large,0.018219135462072263,1,70.0,100.0,,
1,11,1,small,0.034139524943002,1,70.0,100.0,,
1,11,1,large,0.03321996968079992,1,70.0,100.0,,
1,11,1,very_small,0.018643596528838645,1,70.0,100.0,,
1,11,2,small,0.060668622519028804,1,70.0,100.0,,
1,11,2,large,0.059074084527303755,1,70.0,100.0,,
1,11,2,very_small,0.033961544241416,1,70.0,100.0,,
1,11,3,small,0.10800575157664394,1,70.0,100.0,,
