trial,score,vs_left,action,win_probability,round,win_low,win_high,conv_low,conv_high
1,0,0,small,0.018654324299886355,1,70.0,100.0,,
1,0,1,small,0.03398099846097009,1,70.0,100.0,,
1,0,2,small,0.06039579370586924,1,70.0,100.0,,
1,0,3,small,0.10753890803375162,1,70.0,100.0,,
1,1,0,small,0.01864869337836412,1,70.0,100.0,,
1,1,1,small,0.03397106671961562,1,70.0,100.0,,
1,1,2,small,0.060378716230775994,1,70.0,100.0,,
1,1,3,small,0.10750960419763879,1,70.0,100.0,,
1,2,0,small,0.01864193449299673,1,70.0,100.0,,
1,2,1,small,0.0339591135539426,1,70.0,100.0,,
1,2,2,small,0.06035812125919311,1,70.0,100.0,,
1,2,3,small,0.10747416312581681,1,70.0,100.0,,
1,3,0,small,0.018633867788088586,1,70.0,100.0,,
1,3,1,small,0.03394480505299767,1,70.0,100.0,,
1,3,2,small,0.060333416213026986,1,70.0,100.0,,
1,3,3,small,0.10743153679809664,1,70.0,100.0,,
1,4,0,small,0.018624276544907746,1,70.0,100.0,,
1,4,1,small,0.03392774053730722,1,70.0,100.0,,
1,4,2,small,0.06030388739601082,1,70.0,100.0,,
1,4,3,small,0.107380454943456,1,70.0,100.0,,
1,5,0,small,0.018612914973037648,1,70.0,100.0,,
1,5,1,small,0.033907466657659965,1,70.0,100.0,,
1,5,2,small,0.06026872537507765,1,70.0,100.0,,
1,5,3,small,0.10731947151457347,1,70.0,100.0,,
1,6,0,small,0.018603999668415395,1,70.0,100.0,,
1,6,1,small,0.03389297948456554,1,70.0,100.0,,
1,6,2,small,0.060238955401081554,1,70.0,100.0,,
1,6,3,small,0.10725337909417314,1,70.0,100.0,,
1,7,0,small,0.0186200080617586,1,70.0,100.0,,
1,7,1,small,0.03392173899788349,1,70.0,100.0,,
1,7,2,small,0.06028540425691523,1,70.0,100.0,,
1,7,3,small,0.10732389429517003,1,70.0,100.0,,
1,8,0,small,0.0186502141294594,1,70.0,100.0,,
1,8,1,small,0.03397519086191623,1,70.0,100.0,,
1,8,2,small,0.060376621179514374,1,70.0,100.0,,
1,8,3,small,0.10747807903895921,1,70.0,100.0,,
1,9,0,small,0.018685865477671277,1,70.0,100.0,,
1,9,1,small,0.0340379121226081,1,70.0,100.0,,
1,9,2,small,0.060486005039321736,1,70.0,100.0,,
1,9,3,small,0.10766997048492619,1,70.0,100.0,,
1,10,0,small,0.018719942734908682,1,70.0,100.0,,
1,10,1,small,0.034097623240457196,1,70.0,100.0,,
1,10,2,small,0.060592038658694156,1,70.0,100.0,,
1,10,3,small,0.10786139481902904,1,70.0,100.0,,
1,11,0,small,0.018744052954397725,1,70.0,100.0,,
1,11,1,small,0.034139524943002,1,70.0,100.0,,
1,11,2,small,0.060668622519028804,1,70.0,100.0,,
1,11,3,small,0.10800575157664394,1,70.0,100.0,,
1,12,0,small,0.018751943563012033,1,70.0,100.0,,
1,12,1,small,0.03415245311611798,1,70.0,100.0,,
1,12,2,small,0.06069570554515915,1,70.0,100.0,,
1,12,3,small,0.10806634433423287,1,70.0,100.0,,
1,13,0,small,0.01873916406139425,1,70.0,100.0,,
1,13,1,small,0.03412834557812628,1,70.0,100.0,,
1,13,2,small,0.060658499652690684,1,70.0,100.0,,
1,13,3,small,0.10801541171957191,1,70.0,100.0,,
1,14,0,small,0.01870485191369296,1,70.0,100.0,,
1,14,1,small,0.034068528609419925,1,70.0,100.0,,
1,14,2,small,0.060553310370451016,1,70.0,100.0,,
1,14,3,small,0.10783316166244687,1,70.0,100.0,,
1,15,0,small,0.018675513350064666,1,70.0,100.0,,
1,15,1,small,0.03401739794283505,1,70.0,100.0,,
1,15,2,small,0.060463462528486556,1,70.0,100.0,,
1,15,3,small,0.10767256419931544,1,70.0,100.0,,
1,16,0,small,0.018650082065522357,1,70.0,100.0,,
1,16,1,small,0.03397307166316205,1,70.0,100.0,,
1,16,2,small,0.06038574236204669,1,70.0,100.0,,
1,16,3,small,0.10753407254449941,1,70.0,100.0,,
1,17,0,small,0.018627315155397423,1,70.0,100.0,,
1,17,1,small,0.033933344338968115,1,70.0,100.0,,
1,17,2,small,0.06031632873966117,1,70.0,100.0,,
1,17,3,small,0.10741105671679947,1,70.0,100.0,,
1,18,0,small,0.01860587702582549,1,70.0,100.0,,
1,18,1,small,0.03389583384921643,1,70.0,100.0,,
1,18,2,small,0.06025104935004325,1,70.0,100.0,,
1,18,3,small,0.1072961641464842,1,70.0,100.0,,
1,19,0,small,0.018584405547349768,1,70.0,100.0,,
1,19,1,small,0.033858099144376035,1,70.0,100.0,,
1,19,2,small,0.06018559127216894,1,70.0,100.0,,
1,19,3,small,0.10718170604070787,1,70.0,100.0,,
1,20,0,small,0.018561563111462252,1,70.0,100.0,,
1,20,1,small,0.03381773280522414,1,70.0,100.0,,
1,20,2,small,0.06011567076803686,1,70.0,100.0,,
1,20,3,small,0.10705997942249072,1,70.0,100.0,,
1,21,0,small,0.018536074947919336,1,70.0,100.0,,
1,21,1,small,0.03377243189252631,1,70.0,100.0,,
1,21,2,small,0.060037166728910935,1,70.0,100.0,,
1,21,3,small,0.10692352747538222,1,70.0,100.0,,
1,22,0,small,0.018506756785648955,1,70.0,100.0,,
1,22,1,small,0.033720050240482254,1,70.0,100.0,,
1,22,2,small,0.05994622182753548,1,70.0,100.0,,
1,22,3,small,0.10676534168937726,1,70.0,100.0,,
1,23,0,small,0.018472533689925727,1,70.0,100.0,,
1,23,1,small,0.033658635034098966,1,70.0,100.0,,
1,23,2,small,0.05983931528970444,1,70.0,100.0,,
1,23,3,small,0.10657901024369303,1,70.0,100.0,,
1,24,0,small,0.018432451681290977,1,70.0,100.0,,
1,24,1,small,0.033586450223498134,1,70.0,100.0,,
1,24,2,small,0.05971331105568764,1,70.0,100.0,,
1,24,3,small,0.10635881785064312,1,70.0,100.0,,
1,25,0,small,0.018385683535635737,1,70.0,100.0,,
1,25,1,small,0.033501989064714924,1,70.0,100.0,,
1,25,2,small,0.05956548495641417,1,70.0,100.0,,
1,25,3,small,0.10609980293692318,1,70.0,100.0,,
1,26,0,large,0.01842569357597032,1,70.0,100.0,,
1,26,1,large,0.03360323602267711,1,70.0,100.0,,
1,26,2,large,0.05964355592115953,1,70.0,100.0,,
1,26,3,large,0.10593153068616666,1,70.0,100.0,,
1,27,0,large,0.01894017592862272,1,70.0,100.0,,
1,27,1,large,0.034496929264242616,1,70.0,100.0,,
1,27,2,large,0.061214381373588866,1,70.0,100.0,,
1,27,3,large,0.10873419831510778,1,70.0,100.0,,
1,28,0,large,0.01925433548347539,1,70.0,100.0,,
1,28,1,large,0.03504422814257081,1,70.0,100.0,,
1,28,2,large,0.062200959631497174,1,70.0,100.0,,
1,28,3,large,0.11056177391474323,1,70.0,100.0,,
1,29,0,large,0.0193988924419088,1,70.0,100.0,,
1,29,1,large,0.03529233733644565,1,70.0,100.0,,
1,29,2,large,0.06267368223546892,1,70.0,100.0,,
1,29,3,large,0.11150779940426551,1,70.0,100.0,,
1,30,0,large,0.019401487879656728,1,70.0,100.0,,
1,30,1,large,0.03529184559743909,1,70.0,100.0,,
1,30,2,large,0.06271271104614257,1,70.0,100.0,,
1,30,3,large,0.11168988150108622,1,70.0,100.0,,
1,31,0,large,0.01922625734417857,1,70.0,100.0,,
1,31,1,large,0.034977558993898025,1,70.0,100.0,,
1,31,2,large,0.06220029972572186,1,70.0,100.0,,
1,31,3,large,0.110892886728942,1,70.0,100.0,,
1,32,0,large,0.01890975573529827,1,70.0,100.0,,
1,32,1,large,0.03441101657843768,1,70.0,100.0,,
1,32,2,large,0.06123736606776623,1,70.0,100.0,,
1,32,3,large,0.10927819948601161,1,70.0,100.0,,
1,33,0,large,0.01848357402903865,1,70.0,100.0,,
1,33,1,large,0.03364619481829229,1,70.0,100.0,,
1,33,2,large,0.05991438180332132,1,70.0,100.0,,
1,33,3,large,0.10699675942635263,1,70.0,100.0,,
1,34,0,small,0.018018608959667108,1,70.0,100.0,,
1,34,1,small,0.03287218923529273,1,70.0,100.0,,
1,34,2,small,0.05844952472565745,1,70.0,100.0,,
1,34,3,large,0.10418816051994667,1,70.0,100.0,,
1,35,0,small,0.018088742077498797,1,70.0,100.0,,
1,35,1,small,0.03299478461113764,1,70.0,100.0,,
1,35,2,small,0.05866650568919748,1,70.0,100.0,,
1,35,3,small,0.10446061493668668,1,70.0,100.0,,
1,36,0,small,0.018141456374676068,1,70.0,100.0,,
1,36,1,small,0.03308654606970187,1,70.0,100.0,,
1,36,2,small,0.058831339033249205,1,70.0,100.0,,
1,36,3,small,0.10476423944817836,1,70.0,100.0,,
1,37,0,small,0.01817197695289882,1,70.0,100.0,,
1,37,1,small,0.0331387978550896,1,70.0,100.0,,
1,37,2,small,0.058928056291950894,1,70.0,100.0,,
1,37,3,small,0.1049507401628008,1,70.0,100.0,,
1,38,0,small,0.018177114434386802,1,70.0,100.0,,
1,38,1,small,0.03314562405418259,1,70.0,100.0,,
1,38,2,small,0.05894546155768496,1,70.0,100.0,,
1,38,3,small,0.10499831274017875,1,70.0,100.0,,
1,39,0,small,0.018154975977835348,1,70.0,100.0,,
1,39,1,small,0.03310340504756809,1,70.0,100.0,,
1,39,2,small,0.05887642971468256,1,70.0,100.0,,
1,39,3,small,0.10489254392518102,1,70.0,100.0,,
1,40,0,small,0.01810471439371195,1,70.0,100.0,,
1,40,1,small,0.03301040602218632,1,70.0,100.0,,
1,40,2,small,0.058717260685395394,1,70.0,100.0,,
1,40,3,small,0.10462544705814752,1,70.0,100.0,,
1,41,0,small,0.018026311677060994,1,70.0,100.0,,
1,41,1,small,0.03286641363856977,1,70.0,100.0,,
1,41,2,small,0.05846708594639253,1,70.0,100.0,,
1,41,3,small,0.10419448853321205,1,70.0,100.0,,
1,42,0,small,0.017920393540241393,1,70.0,100.0,,
1,42,1,small,0.03267241719960109,1,70.0,100.0,,
1,42,2,small,0.058127323800026234,1,70.0,100.0,,
1,42,3,small,0.10360162596927802,1,70.0,100.0,,
1,43,0,small,0.017788071775461163,1,70.0,100.0,,
1,43,1,small,0.032430330906433116,1,70.0,100.0,,
1,43,2,small,0.05770118453308394,1,70.0,100.0,,
1,43,3,small,0.10285238133000843,1,70.0,100.0,,
1,44,0,small,0.017630811508595964,1,70.0,100.0,,
1,44,1,small,0.032142754011481596,1,70.0,100.0,,
1,44,2,small,0.05719322637535153,1,70.0,100.0,,
1,44,3,small,0.10195496998964483,1,70.0,100.0,,
1,45,0,small,0.017450320622530942,1,70.0,100.0,,
1,45,1,small,0.031812765889050555,1,70.0,100.0,,
1,45,2,small,0.05660896297094489,1,70.0,100.0,,
1,45,3,small,0.10091950466252447,1,70.0,100.0,,
1,46,0,small,0.017248458831037657,1,70.0,100.0,,
1,46,1,small,0.031471788219296665,1,70.0,100.0,,
1,46,2,small,0.0560305694868374,1,70.0,100.0,,
1,46,3,small,0.09986372758503076,1,70.0,100.0,,
1,47,0,small,0.017027164073830505,1,70.0,100.0,,
1,47,1,small,0.031154604163467062,1,70.0,100.0,,
1,47,2,small,0.05547810591938384,1,70.0,100.0,,
1,47,3,small,0.0988599094094787,1,70.0,100.0,,
1,48,0,small,0.016788394080731437,1,70.0,100.0,,
1,48,1,small,0.030846973459254343,1,70.0,100.0,,
1,48,2,small,0.054944993546734607,1,70.0,100.0,,
1,48,3,small,0.0978975560224202,1,70.0,100.0,,
1,49,0,small,0.01653408111855375,1,70.0,100.0,,
1,49,1,small,0.030358722714170804,1,70.0,100.0,,
1,49,2,small,0.05407212592248533,1,70.0,100.0,,
1,49,3,small,0.0963496154826621,1,70.0,100.0,,
1,50,0,small,0.01783849392243214,1,70.0,100.0,,
1,50,1,small,0.03259488919206743,1,70.0,100.0,,
1,50,2,small,0.05788831933093842,1,70.0,100.0,,
1,50,3,small,0.10284350470074963,1,70.0,100.0,,
1,51,0,small,0.018744354330887756,1,70.0,100.0,,
1,51,1,small,0.034155102801968984,1,70.0,100.0,,
1,51,2,small,0.06058658760684611,1,70.0,100.0,,
1,51,3,small,0.10754311831619012,1,70.0,100.0,,
1,52,0,small,0.019310099362750244,1,70.0,100.0,,
1,52,1,small,0.03513380326377998,1,70.0,100.0,,
1,52,2,small,0.06231446587556772,1,70.0,100.0,,
1,52,3,small,0.11064740248863346,1,70.0,100.0,,
1,53,0,small,0.019590347607381185,1,70.0,100.0,,
1,53,1,small,0.03562192572740951,1,70.0,100.0,,
1,53,2,small,0.06321040276839783,1,70.0,100.0,,
1,53,3,small,0.11234880594155565,1,70.0,100.0,,
1,54,0,small,0.019635896530839223,1,70.0,100.0,,
1,54,1,small,0.03570172985943763,1,70.0,100.0,,
1,54,2,small,0.06340208745799794,1,70.0,100.0,,
1,54,3,small,0.11283192083719586,1,70.0,100.0,,
1,55,0,small,0.019491404434132595,1,70.0,100.0,,
1,55,1,small,0.03544669212803583,1,70.0,100.0,,
1,55,2,small,0.06300612495999805,1,70.0,100.0,,
1,55,3,small,0.11227248413066272,1,70.0,100.0,,
1,56,0,small,0.019195742318221517,1,70.0,100.0,,
1,56,1,small,0.034921775240986504,1,70.0,100.0,,
1,56,2,small,0.06212800591428384,1,70.0,100.0,,
1,56,3,small,0.11083672967801211,1,70.0,100.0,,
1,57,0,small,0.018782388517353827,1,70.0,100.0,,
1,57,1,small,0.034183833562844296,1,70.0,100.0,,
1,57,2,small,0.060862401465984615,1,70.0,100.0,,
1,57,3,small,0.10868075445524962,1,70.0,100.0,,
1,58,0,small,0.018279864064146504,1,70.0,100.0,,
1,58,1,small,0.03328214803604219,1,70.0,100.0,,
