round,trial,score,vs_left,best_action,win_probability
1,1,0,0,small,0.06613078574223956
1,1,0,1,small,0.10081891604733396
1,1,0,2,small,0.12627631493724234
1,1,0,3,small,0.1579441717810172
1,1,1,0,small,0.06607904843897558
1,1,1,1,small,0.10076576019770349
1,1,1,2,small,0.12622680273455908
1,1,1,3,small,0.1578953975156595
1,1,2,0,small,0.06601995583656854
1,1,2,1,small,0.10070651500501647
1,1,2,2,small,0.12617302211663187
1,1,2,3,small,0.15784019457772372
1,1,3,0,small,0.06595274103464456
1,1,3,1,small,0.10064181724834119
1,1,3,2,small,0.12611597021159235
1,1,3,3,small,0.1577788330941939
1,1,4,0,small,0.06587657260892625
1,1,4,1,small,0.10057204220850895
1,1,4,2,small,0.1260559235115079
1,1,4,3,small,0.15771114036256884
1,1,5,0,small,0.06617453232830824
1,1,5,1,small,0.10091793749889041
1,1,5,2,small,0.12632637456887474
1,1,5,3,small,0.1578087339649551
1,1,6,0,small,0.06642423134513886
1,1,6,1,small,0.10119905592091463
1,1,6,2,small,0.12657612429956736
1,1,6,3,small,0.15799378404217812
1,1,7,0,small,0.06661556341591014
1,1,7,1,small,0.10139519931977038
1,1,7,2,small,0.12676951438276785
1,1,7,3,small,0.15820982089928345
1,1,8,0,small,0.06674123998540266
1,1,8,1,small,0.10149187541323461
1,1,8,2,small,0.12688173865717875
1,1,8,3,small,0.1584091686570399
1,1,9,0,small,0.06679666186356215
1,1,9,1,small,0.10147989256056442
1,1,9,2,small,0.1268931911034361
1,1,9,3,small,0.15855106632227356
1,1,10,0,small,0.06677979195573955
1,1,10,1,small,0.10135623832200306
1,1,10,2,small,0.12679202395468217
1,1,10,3,small,0.15860513203028972
1,1,11,0,small,0.06664915136009118
1,1,11,1,small,0.10118120874433963
1,1,11,2,small,0.12662727359199172
1,1,11,3,small,0.15850988859733736
1,1,12,0,small,0.06644672207538642
1,1,12,1,small,0.10103463895148626
1,1,12,2,small,0.12649004774391692
1,1,12,3,small,0.1583104877147342
1,1,13,0,small,0.06627098250461846
1,1,13,1,small,0.10090762168637217
1,1,13,2,small,0.12637260442327317
1,1,13,3,small,0.15814180785617057
1,1,14,0,small,0.06611451879151242
1,1,14,1,small,0.1007914626942199
1,1,14,2,small,0.12626663798836904
1,1,14,3,small,0.15799692781129696
1,1,15,0,small,0.06597039048403244
1,1,15,1,small,0.10067784191144262
1,1,15,2,small,0.12616359772509406
1,1,15,3,small,0.15786741576280017
1,1,16,0,small,0.06583217807994098
1,1,16,1,small,0.10055892819467742
1,1,16,2,small,0.12605495297595015
1,1,16,3,small,0.1577438532263253
1,1,17,0,small,0.06569401332925387
1,1,17,1,small,0.1004274646816294
1,1,17,2,small,0.125932409814353
